sampleId,stratum,currentClassification,evidence,college,title,url,policySource,policyVerifiedAt,medicalLike,manualLabel,manualEvidenceUrl,reviewer,reviewNotes
AT-001,policy-tenure-track,tenure-track,institution-policy,North Carolina A&T State University,Associate Professor/Professor and Graduate Program Director for Criminal Justice,https://jobs.ncat.edu/postings/41569,https://jobs.ncat.edu/postings/41571/print_preview,2026-09-20,false,,,,
AT-002,policy-tenure-track,tenure-track,institution-policy,Auburn University,"Assistant Professor, Public History (U.S.)",https://jobs.auburn.edu/auburn/jobs/10205?lang=en-us,https://ccr.auburn.edu/submission/794.html,2026-09-20,false,,,,
AT-003,policy-tenure-track,tenure-track,institution-policy,Hutchinson Community College,"Adult Education/GED Instructor - Corrections, Full Time (ADM3180)",https://www.hutchcc.edu/jobs/1148/102999,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,false,,,,
AT-004,policy-tenure-track,tenure-track,institution-policy,Minnesota North College,Machine Tool Technology/Machinist - Technical College Faculty,https://minnstate.wd115.myworkdayjobs.com/Minnesota_State_Careers/job/Grand-Rapids/Machine-Tool-Technology-Machinist---Technical-College-Faculty_JR0000005766,https://www.minnstate.edu/system/working/docs/contracts/mscf-contract.pdf,2026-09-21,false,,,,
AT-005,policy-tenure-track,tenure-track,institution-policy,UC Santa Cruz,Assistant Teaching Professor of Sound and Media Art,https://recruit.ucsc.edu/JPF02127,https://www.ucop.edu/academic-personnel-programs/_files/apm/apm-285.pdf,2026-09-20,false,,,,
AT-006,policy-tenure-track,tenure-track,institution-policy,California State Polytechnic University-Pomona,"Finance, Real Estate, and Law, Assistant Professor",https://csucareers.calstate.edu/en-us/job/560199/finance-real-estate-and-law-assistant-professor,https://nces.ed.gov/ipeds/complete-data-files/S2024_SIS.zip,2026-09-21,false,,,,
AT-007,policy-tenure-track,tenure-track,institution-policy,The University of Texas Health Science Center at San Antonio,"Dept of Periodontics - Chair and Professor, Tenure",https://uthscsa.referrals.selectminds.com/faculty/jobs/dept-of-periodontics-chair-and-professor-tenure-13098,https://public.powerdms.com/UTHSA/documents/1590292,2026-09-10,true,,,,
AT-008,policy-tenure-track,tenure-track,institution-policy,Elizabeth City State University,Endowed Professor/Distinguished Professor of Mathematics,https://jobs.ecsu.edu/postings/7826,https://ecsu.edu/wp-content/uploads/2026/06/300-2-1-1.pdf,2026-09-21,false,,,,
AT-009,policy-tenure-track,tenure-track,institution-policy,Stony Brook University,"Medical Physicist, Assistant/Associate Professor, Radiation Oncology",https://apply.interfolio.com/189693,https://www.suny.edu/hr/compensation/unclassified/other/academic-rank-titles/,2026-09-21,true,,,,
AT-010,policy-tenure-track,tenure-track,institution-policy,West Shore Community College,English Composition Faculty,https://www.schooljobs.com/careers/westshore/jobs/3873835/english-composition-faculty?page=2&pagetype=jobOpportunitiesJobs,https://www.westshore.edu/wp-content/uploads/2025/08/Faculty-Contract-2025-2028-with-signatures.pdf,2026-09-22,false,,,,
AT-011,policy-tenure-track,tenure-track,institution-policy,Brigham Young University,Civil & Construction Engineering – Construction Management - CFS Professorial Faculty (2 Positions),https://byu.wd1.myworkdayjobs.com/faculty-careers/job/Provo-UT/Civil---Construction-Engineering---Construction-Management---CFS-Professorial-Faculty--2-Positions-_JR-11544,https://policy.byu.edu/view/rank-and-status-policy,2026-09-15,false,,,,
